Category,Message
0,rose redred bloodblood heartheart u u send tis ur friends including u like u get back u r poor relation u need support u r frnd many luvs u praying god marry u try
1,specially selected receive pound award call lines close cost ppm tcs apply ag promo
0,dun need use dial juz open da browser n surf
0,yeah sure thing mate haunt got stuff sorted im going sound anyway promoting hex way dont know number joke
0,sounds good fingers makes difficult type
0,love holiday monday feeling even go dentists hour
0,would im still cozy exhausted last nightnobody went school work everything closed
0,yeah thats thinking
0,going college pa else ill come self pa
0,staffsciencenusedusgphyhcmkteachingpc
0,dun cut short leh u dun like ah failed shes quite sad
0,zoe hit im fucking shitin il defo try hardest cum morow luv u millions lekdog
0,wuld without baby thought alone mite break donåõt wan na go crazy everyboy needs lady xxxxxxxx
0,aiyar u poor thing give u support k jia ill think u
0,much buzy
0,actually fuck whatever find excuse tampa point january though
0,callsmessagesmissed calls
0,reach home safe n sound liao
0,im home doc gave pain meds says everything fine
0,im sorry bout last nite wasnåõt ur fault spouse pmt sumthin u give think u shldxxxx
0,lost pounds since doc visit last week woot woot im gon na celebrate stuffing face
1,hello need posh birds chaps user trial prods champneys put need address dob asap ta r
0,said u mind go bedroom minute ok sed sexy mood came minuts latr wid caken wife
0,im meeting call later
1,urgent please call landline å cash luxury canary islands holiday await collection tcs sae award maq ppm ûï
0,alrite hunnywot u nite didnt end goin town jus da pub instead jus chillin da mo bedroomlove jen xxx
0,electricity went fml
0,yup ok
0,everything weather keep extra warm cold nothing serious pls lots vitamin c
0,ok prob take ur time
0,living simple loving also simple laughing simple winning tooo simple simple difficult
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india
0,hows loverboy keeps coming queen hmmm doesnt ache speak miss desparately
0,jordan got voted last nite
0,surfing online store offers want buy thing
0,know account detailsi ask mom send youmy mom reach
0,sense foot penis
1,ur hmv quiz cashbalance currently å maximize ur cashin send hmv pmsg
1,dating service asked contact u someone shy call revealed pobox uz p
0,call senthil hsbc
0,aathiwhere dear
0,oh fine ill tonight
0,im done im sorry hope next space gives everything want remember furniture im around move lock locks leave key jenne
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom
0,shit babe thasa bit messed upyeh
0,purity friendship two smiling reading forwarded messageits smiling seeing name gud evng musthu
0,pick ur fone u dumb
0,yes rent expensive way save
1,save money wedding lingerie wwwbridalpetticoatdreamscouk choose superb selection national delivery brought weddingfriend
0,laptop noe infra slow lar wan fast one
0,told going got drunk
0,dizzamn aight ill ask suitemates get back
0,oh forwarded message thought send
0,reach office around ltdecimalgt amp mobile problem cannt get voice call asa ill free
0,use foreign stamps country good lecture
1,important customer service announcement premier call freephone
0,said anything wrong sorry de
0,ill get unless guys want come time sooner
0,think going finns come
0,feb ltgt love u day send dis ur valued frnds evn comes back ull gt married person u luv u ignore dis u lose ur luv evr
0,alrite sam nic checkin ur numberso ittb
0,great attracts brothas
0,watching tv got new job
0,freezing home yet remember kiss mom morning love think missing yet
0,im home please call
